gbifID,language,license,rightsHolder,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,dataGeneralizations,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,occurrenceStatus,eventDate,year,verbatimEventDate,waterBody,countryCode,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,verbatimCoordinateSystem,verbatimSRS,identifiedBy,taxonID,scientificNameID,gbifapi_acceptedScientificName,kingdom,taxonRank,vernacularName,taxonKey,gbifapi_acceptedKey
1790745853,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS518041798,obsr601569,6,NA,NA,NA,NA,2014-04-10T02:00:00Z,2014,NA,NA,BE,Oud-Heverlee - Oud-Heverlee-Zuid,50.839552,4.654952,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1790755105,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS518142274,obsr601569,2,NA,NA,NA,NA,2015-10-03T02:00:00Z,2015,NA,NA,BE,Haasrode quarry (restricted access),50.838387,4.74148,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1790808349,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS517901500,obsr601569,2,NA,NA,NA,NA,2013-11-09T01:00:00Z,2013,NA,NA,BE,Haasrode quarry (restricted access),50.838387,4.74148,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1790809396,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS517896700,obsr601569,4,NA,NA,NA,NA,2014-10-12T02:00:00Z,2014,NA,NA,BE,Haasrode quarry (restricted access),50.838387,4.74148,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1790838838,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS518034301,obsr601569,25,NA,NA,NA,NA,2014-08-24T02:00:00Z,2014,NA,NA,BE,Oud-Heverlee - Oud-Heverlee-Zuid,50.839552,4.654952,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1790934753,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS518748605,obsr601569,4,NA,NA,NA,NA,2016-11-12T01:00:00Z,2016,NA,NA,BE,Heverlee - Abdij van Park,50.863051,4.719615,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1791057029,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS520427119,obsr601569,6,NA,NA,NA,NA,2014-01-02T01:00:00Z,2014,NA,NA,BE,Leuven - Provinciedomein Kessel-Lo,50.893883,4.722305,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1791064770,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS520421772,obsr601569,8,NA,NA,NA,NA,2014-01-18T01:00:00Z,2014,NA,NA,BE,Haasrode quarry (restricted access),50.838387,4.74148,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1791129366,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS520109202,obsr601569,2,NA,NA,NA,NA,2016-01-01T01:00:00Z,2016,NA,NA,BE,Leefdaal - Plateau,50.843685,4.617777,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1791312630,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS521814033,obsr601569,23,NA,NA,NA,NA,2002-11-03T01:00:00Z,2002,NA,NA,BE,Lier - Anderstad,51.115744,4.552546,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1791513980,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS524809873,obsr601569,2,NA,NA,NA,NA,2010-12-19T01:00:00Z,2010,NA,NA,BE,Leuven - Provinciedomein Kessel-Lo,50.893883,4.722305,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1791595151,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS525712047,obsr601569,14,NA,NA,NA,NA,2012-01-08T01:00:00Z,2012,NA,NA,BE,Backyard K-L straat Bierbeek,50.834775,4.747682,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
